CD_SETOR,CEP
355030801000001,03190-130
355030801000001,03191-090
355030801000001,03191-100
355030801000001,03191-110
355030801000001,03191-120
355030801000001,03345-002
355030801000002,03345-045
355030801000002,03349-040
355030801000002,03349-045
355030801000002,03350-020
355030801000002,03350-030
355030801000002,03350-070
355030801000003,03350-060
355030801000004,03345-001
355030801000004,03350-010
355030801000004,03350-015
355030801000004,03351-120
355030801000005,03191-160
355030801000005,03192-140
355030801000005,03192-170
355030801000005,03345-050
355030801000007,01999-999
355030801000007,03189-000
355030801000007,03189-150
355030801000007,03189-160
355030801000007,03189-170
355030801000007,03189-190
355030801000007,03189-200
355030801000009,03188-002
355030801000009,03191-200
355030801000009,03194-010
355030801000010,03190-120
355030801000010,03190-170
355030801000010,03191-020
355030801000010,03191-030
355030801000010,03191-040
355030801000010,03191-050
355030801000011,03191-130
355030801000011,03191-140
355030801000011,03191-150
355030801000012,03344-000
355030801000012,03344-050
355030801000012,03344-060
355030801000012,03344-070
355030801000012,03344-080
355030801000013,00334-400
355030801000013,00334-412
355030801000013,03344-110
355030801000015,03349-030
355030801000015,03349-050
355030801000015,03351-090
355030801000016,03350-120
355030801000016,03350-130
355030801000016,03351-125
355030801000017,03350-040
355030801000017,03350-080
355030801000017,03350-090
355030801000017,03350-100
355030801000017,03350-110
355030801000018,03350-005
355030801000018,03350-050
355030801000018,03351-100
355030801000019,03345-000
355030801000019,03351-110
355030801000019,03351-130
355030801000019,03351-140
355030801000019,03351-150
355030801000020,03158-090
355030801000020,03192-150
355030801000021,03131-060
355030801000021,03131-070
355030801000021,03131-080
355030801000021,03131-090
355030801000021,03131-130
355030801000021,03192-130
355030801000022,03193-020
355030801000022,03193-070
355030801000022,03193-080
355030801000022,03193-090
355030801000022,03193-100
355030801000023,03192-040
355030801000023,03192-060
355030801000024,03189-002
355030801000024,03189-030
355030801000024,03189-120
355030801000024,03189-210
355030801000025,03168-015
355030801000025,03188-050
355030801000025,03189-110
355030801000028,03188-001
355030801000028,03188-030
355030801000028,03188-070
355030801000030,03190-060
355030801000030,03190-070
355030801000030,03190-080
355030801000030,03190-100
355030801000030,03190-110
355030801000030,03190-140
355030801000030,09890-050
355030801000031,03346-040
355030801000031,03346-050
355030801000031,03346-060
355030801000031,03346-070
355030801000031,03346-080
355030801000031,03346-090
355030801000031,03348-070
355030801000032,00336-110
355030801000032,03344-090
355030801000032,03346-100
355030801000032,03346-110
355030801000032,03346-115
355030801000032,03347-010
355030801000032,03347-020
355030801000032,03347-040
355030801000033,03344-005
355030801000033,03344-100
355030801000033,03347-030
355030801000033,03347-070
355030801000033,03347-080
355030801000034,03344-120
355030801000034,03347-090
355030801000034,03347-100
355030801000034,03347-110
355030801000035,03348-000
355030801000035,03348-020
355030801000035,03348-030
355030801000036,03348-080
355030801000036,03349-001
355030801000036,03349-020
355030801000038,03350-000
355030801000038,03370-010
355030801000038,03370-030
355030801000039,03345-010
355030801000039,03345-020
355030801000039,03345-030
355030801000039,03345-040
355030801000039,03345-060
355030801000040,03161-020
355030801000040,03161-030
355030801000040,03161-040
355030801000040,03161-050
355030801000040,03161-290
355030801000040,03273-020
355030801000040,03273-030
355030801000042,03158-070
355030801000042,03158-100
355030801000043,03157-090
355030801000043,03158-010
355030801000043,03158-020
355030801000043,03158-050
355030801000044,03157-000
355030801000044,03157-080
355030801000044,03158-030
355030801000044,03158-040
355030801000044,03158-060
355030801000045,03157-010
355030801000045,03157-100
355030801000046,03131-040
355030801000046,03131-045
355030801000046,03131-050
355030801000046,03157-140
355030801000046,03193-110
355030801000046,03193-140
355030801000047,03189-020
355030801000047,03193-010
355030801000048,03193-030
355030801000048,03193-060
355030801000049,03192-110
355030801000049,03192-120
355030801000049,03193-040
355030801000049,03193-050
355030801000049,03195-100
355030801000050,03192-020
355030801000050,03192-030
355030801000050,03192-070
355030801000050,03192-080
355030801000050,03192-090
355030801000050,03192-100
355030801000051,03192-010
355030801000051,03192-190
355030801000051,03192-220
355030801000051,03195-000
355030801000052,03189-040
355030801000052,03189-070
355030801000052,03189-090
355030801000052,03189-100
355030801000053,03186-004
355030801000053,03186-030
355030801000053,03186-040
355030801000056,03187-030
355030801000056,03188-000
355030801000056,04810-080
355030801000057,03190-020
355030801000057,03345-004
355030801000061,03346-030
355030801000063,03343-020
355030801000063,03348-025
355030801000064,03347-000
355030801000064,03347-050
355030801000064,03347-060
355030801000065,03340-000
355030801000065,03348-050
355030801000066,03348-060
355030801000066,03349-000
355030801000066,03349-010
355030801000067,03349-015
355030801000067,03349-060
355030801000067,03370-000
355030801000068,03370-020
355030801000068,03370-025
355030801000069,03161-090
355030801000069,03161-110
355030801000069,03161-130
355030801000069,03273-070
355030801000069,03273-100
355030801000069,03273-110
355030801000069,03273-150
355030801000072,03158-080
355030801000072,03158-110
